Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C_7,C4,100pF,SMD-0805,1,
2,,C_8,C5,470pF,SMD-0805,1,
3,,C_5,C3,1nF,SMD-0805,1,
4,,C_6,C2,100nF,SMD-0805,1,
5,,CP2_4,C1,47uF,TantalC_SizeC_Reflow,1,
6,,CP2_5,C6,100uF,TantalC_SizeD_Reflow,1,
7,,CP2_6,C7,100uF,TantalC_SizeD_Reflow,1,
8,,DIODESCH_2,D2,15MQ040N,Diode-SMA_Standard,1,
9,,DIODE_2,D1,M4,Diode-SMA_Standard,1,
10,,CONN1_1_5,J2,CONN1_1,WAGO256,1,
11,,CONN1_1_6,J3,CONN1_1,WAGO256,1,
12,,JUMP2_2x1_4,J4,JUMP2_2x1,Pin_Header_Straight_1x02,1,
13,,JUMP2_2x1_5,J5,JUMP2_2x1,Pin_Header_Straight_1x02,1,
14,,JUMP2_2x1_6,J6,JUMP2_2x1,Pin_Header_Straight_1x02,1,
15,,JUMP_4X2_3,J1,JUMP_4X2,Pin_Header_Straight_2x04,1,
16,,JUMP_4X2_4,J9,JUMP_4X2,Pin_Header_Straight_2x04,1,
17,,CONN1_1_8,J7,Vout+,WAGO256,1,
18,,CONN1_1_7,J8,Vout-,WAGO256,1,
19,,INDUCTOR_SMALL_2,L1,22uH DE1207-22,DE1205-10,1,
20,,IRF7416_2,Q1,IRF7416,SO-8,1,
21,Resistor,R,R4,11k,SMD-0805,1,~
22,Resistor,R,R2,20k,SMD-0805,1,~
23,Resistor,R,R1,22k,SMD-0805,1,~
24,Resistor,R,R3,33k,SMD-0805,1,~
25,Resistor,R,R5,-,SMD-0805,1,~
26,,LM3485_2,U1,LM3485,MSOP-8_3x3mm_Pitch0.65mm,1,
